patient_id,full_name,recorded_ts,birthdate,deathdate,ssn,drivers,passport,prefix,marital,race,ethnicity,gender,birthplace,patient_address,patient_city,patient_state,county,fips,patient_zip,lat,lon,healthcare_expenses,healthcare_coverage,income,age_at_imaging,bodysite_code,bodysite_description,modality_code,modality_description,sop_code,sop_description,procedure_code,encounter_class,encounter_description,base_encounter_cost,total_claim_cost,payer_coverage,encounter_reason,organization_name,organization_address,organization_city,organization_state,organization_zip,provider_name,provider_speciality
1329b83e-ea69-d184-b4af-0d2a8e07896e,Yaeko Ming Kshlerin,2024-09-24 06:16:12.000000,1999-06-07,,999-26-7676,S99963354,X23683209X,Ms.,,white,nonhispanic,F,Oakes  North Dakota  US,523 O'Kon Orchard,Cando,North Dakota,Towner County,38095,58324,48.474606837447600,-99.2336557130521,127546.31,673780.87,63061,25,700016008,Structure of region of internal part of mouth (body structure),DX,Digital Radiography,1.2.840.10008.5.1.4.1.1.1.3,Digital Intra-Oral X-Ray Image Storage - For Presentation,241046008,ambulatory,Encounter for check up (procedure),96.45,3193.25,2554.6,Patient referral for dental care (procedure),TOWNER COUNTY MEDICAL CENTER INC,HWY 281N,CANDO,ND,583240688,Shiloh Larson,GENERAL PRACTICE
143065b8-da2b-1e00-0aad-ad51519d0536,Robbie Marco Kuvalis,2019-09-16 11:09:40.000000,1975-08-11,,999-84-4748,S99920547,X10256693X,Mr.,M,white,nonhispanic,M,Fargo  North Dakota  US,759 Powlowski Parade,Mandan,North Dakota,Morton County,38059,58554,46.74283114565800,-100.97612404484400,421923.17,199764.15,103763,44,181171005,Entire retina (body structure),OP,Ophthalmic Photography,1.2.840.10008.5.1.4.1.1.77.1.5.1,Ophthalmic Photography 8 Bit Image Storage,314971001,ambulatory,Ophthalmic examination and evaluation (procedure),160.75,2870.45,635.59,Diabetes mellitus type 2 (disorder),SANFORD MEDICAL CENTER BISMARCK,300 N 7TH ST,MANDAN,ND,585543771,Carlena Feil,GENERAL PRACTICE
143065b8-da2b-1e00-0aad-ad51519d0536,Robbie Marco Kuvalis,2025-06-16 12:55:25.000000,1975-08-11,,999-84-4748,S99920547,X10256693X,Mr.,M,white,nonhispanic,M,Fargo  North Dakota  US,759 Powlowski Parade,Mandan,North Dakota,Morton County,38059,58554,46.74283114565800,-100.97612404484400,421923.17,199764.15,103763,49,181171005,Entire retina (body structure),OP,Ophthalmic Photography,1.2.840.10008.5.1.4.1.1.77.1.5.1,Ophthalmic Photography 8 Bit Image Storage,314971001,ambulatory,Ophthalmic examination and evaluation (procedure),160.75,2483.35,1986.68,,SANFORD MEDICAL CENTER BISMARCK,300 N 7TH ST,MANDAN,ND,585543771,Carlena Feil,GENERAL PRACTICE
143065b8-da2b-1e00-0aad-ad51519d0536,Robbie Marco Kuvalis,2023-06-27 12:22:28.000000,1975-08-11,,999-84-4748,S99920547,X10256693X,Mr.,M,white,nonhispanic,M,Fargo  North Dakota  US,759 Powlowski Parade,Mandan,North Dakota,Morton County,38059,58554,46.74283114565800,-100.97612404484400,421923.17,199764.15,103763,47,181171005,Entire retina (body structure),OP,Ophthalmic Photography,1.2.840.10008.5.1.4.1.1.77.1.5.1,Ophthalmic Photography 8 Bit Image Storage,314971001,ambulatory,Ophthalmic examination and evaluation (procedure),160.75,2483.35,118.78,,SANFORD MEDICAL CENTER BISMARCK,300 N 7TH ST,MANDAN,ND,585543771,Carlena Feil,GENERAL PRACTICE
143065b8-da2b-1e00-0aad-ad51519d0536,Robbie Marco Kuvalis,2021-08-06 11:44:49.000000,1975-08-11,,999-84-4748,S99920547,X10256693X,Mr.,M,white,nonhispanic,M,Fargo  North Dakota  US,759 Powlowski Parade,Mandan,North Dakota,Morton County,38059,58554,46.74283114565800,-100.97612404484400,421923.17,199764.15,103763,46,181171005,Entire retina (body structure),OP,Ophthalmic Photography,1.2.840.10008.5.1.4.1.1.77.1.5.1,Ophthalmic Photography 8 Bit Image Storage,314971001,ambulatory,Ophthalmic examination and evaluation (procedure),160.75,2483.35,0.0,,SANFORD MEDICAL CENTER BISMARCK,300 N 7TH ST,MANDAN,ND,585543771,Carlena Feil,GENERAL PRACTICE
143065b8-da2b-1e00-0aad-ad51519d0536,Robbie Marco Kuvalis,2025-06-16 12:55:25.000000,1975-08-11,,999-84-4748,S99920547,X10256693X,Mr.,M,white,nonhispanic,M,Fargo  North Dakota  US,759 Powlowski Parade,Mandan,North Dakota,Morton County,38059,58554,46.74283114565800,-100.97612404484400,421923.17,199764.15,103763,49,181171005,Entire retina (body structure),OP,Ophthalmic Photography,1.2.840.10008.5.1.4.1.1.77.1.5.1,Ophthalmic Photography 8 Bit Image Storage,314971001,ambulatory,Ophthalmic examination and evaluation (procedure),160.75,2483.35,1986.68,,SANFORD MEDICAL CENTER BISMARCK,300 N 7TH ST,MANDAN,ND,585543771,Carlena Feil,GENERAL PRACTICE
143065b8-da2b-1e00-0aad-ad51519d0536,Robbie Marco Kuvalis,2022-07-02 12:03:40.000000,1975-08-11,,999-84-4748,S99920547,X10256693X,Mr.,M,white,nonhispanic,M,Fargo  North Dakota  US,759 Powlowski Parade,Mandan,North Dakota,Morton County,38059,58554,46.74283114565800,-100.97612404484400,421923.17,199764.15,103763,46,181171005,Entire retina (body structure),OP,Ophthalmic Photography,1.2.840.10008.5.1.4.1.1.77.1.5.1,Ophthalmic Photography 8 Bit Image Storage,314971001,ambulatory,Ophthalmic examination and evaluation (procedure),160.75,2483.35,0.0,,SANFORD MEDICAL CENTER BISMARCK,300 N 7TH ST,MANDAN,ND,585543771,Carlena Feil,GENERAL PRACTICE
143065b8-da2b-1e00-0aad-ad51519d0536,Robbie Marco Kuvalis,2022-07-02 12:03:40.000000,1975-08-11,,999-84-4748,S99920547,X10256693X,Mr.,M,white,nonhispanic,M,Fargo  North Dakota  US,759 Powlowski Parade,Mandan,North Dakota,Morton County,38059,58554,46.74283114565800,-100.97612404484400,421923.17,199764.15,103763,46,181171005,Entire retina (body structure),OP,Ophthalmic Photography,1.2.840.10008.5.1.4.1.1.77.1.5.1,Ophthalmic Photography 8 Bit Image Storage,314971001,ambulatory,Ophthalmic examination and evaluation (procedure),160.75,2483.35,0.0,,SANFORD MEDICAL CENTER BISMARCK,300 N 7TH ST,MANDAN,ND,585543771,Carlena Feil,GENERAL PRACTICE
143065b8-da2b-1e00-0aad-ad51519d0536,Robbie Marco Kuvalis,2015-08-31 13:11:48.000000,1975-08-11,,999-84-4748,S99920547,X10256693X,Mr.,M,white,nonhispanic,M,Fargo  North Dakota  US,759 Powlowski Parade,Mandan,North Dakota,Morton County,38059,58554,46.74283114565800,-100.97612404484400,421923.17,199764.15,103763,40,700016008,Structure of region of internal part of mouth (body structure),DX,Digital Radiography,1.2.840.10008.5.1.4.1.1.1.3,Digital Intra-Oral X-Ray Image Storage - For Presentation,241046008,ambulatory,Encounter for check up (procedure),96.45,3193.25,0.0,Patient referral for dental care (procedure),SANFORD MEDICAL CENTER BISMARCK,300 N 7TH ST,MANDAN,ND,585543771,Carlena Feil,GENERAL PRACTICE
143065b8-da2b-1e00-0aad-ad51519d0536,Robbie Marco Kuvalis,2024-06-21 12:39:11.000000,1975-08-11,,999-84-4748,S99920547,X10256693X,Mr.,M,white,nonhispanic,M,Fargo  North Dakota  US,759 Powlowski Parade,Mandan,North Dakota,Morton County,38059,58554,46.74283114565800,-100.97612404484400,421923.17,199764.15,103763,48,181171005,Entire retina (body structure),OP,Ophthalmic Photography,1.2.840.10008.5.1.4.1.1.77.1.5.1,Ophthalmic Photography 8 Bit Image Storage,314971001,ambulatory,Ophthalmic examination and evaluation (procedure),160.75,2483.35,481.39,,SANFORD MEDICAL CENTER BISMARCK,300 N 7TH ST,MANDAN,ND,585543771,Carlena Feil,GENERAL PRACTICE
