patient_id,clinical_note
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Ms. Yaeko Ming Kshlerin, Ms. born 06/07/1999 (age 23 at the start of her medication), a white, non‑Hispanic female from Oakes, North Dakota, presented for an outpatient check‑up at TOWNER COUNTY MEDICAL CENTER (HWY 281 N, Cando, ND 58324) under the care of Dr. Jarvis Ankunding, general practice. She received Acetaminophen 300 mg / Hydrocodone Bitartrate 5 mg oral tablets (pharmacy code 856987) from 05/09/2023 04:52:06 to 09/05/2023 04:52:06, with three dispenses totalling $97.29 (base cost $32.43, fully covered by payer), and the encounter itself cost $96.45 (claim cost $1,053.14, fully covered). Her home address is 523 O'Kon Orchard, Cando, ND 58324 (lat 48.4746, lon -99.2337), she resides in Towner County (FIPS 38095), and her SSN is 999‑26‑7676, driver’s license S99963354, passport X23683209X.  Overall, her healthcare expenses total $127,546.31 against coverage of $673,780.87, with an annual income of $63,061."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, born on 06/07/1999 (SSN: 999‑26‑7676, driver’s license S99963354, passport X23683209X), presents for a wellness visit at TOWNER COUNTY MEDICAL CENTER on 2024‑09‑10. Dr. Sal Lehner, a general practitioner, performed a general examination and reviewed her prescription of Acetaminophen 300 mg / Hydrocodone Bitartrate 5 mg oral tablets (medication code 856987) that she has been taking from 2023‑09‑05 to 2024‑09‑10, with three dispensings, a total medication cost of $104.40 and a base cost of $34.80; the encounter cost was $70.80, with $43.02 covered by payer. The patient is a 24‑year‑old white female of non‑Hispanic ethnicity, born in Oakes, North Dakota, currently residing at 523 O'Kon Orchard, Cando, ND 58324, Towner County (lat 48.4746, lon -99.2337), who has incurred $127,546.31 in healthcare expenses against coverage of $673,780.87, with an annual income of $63,061. Follow‑up is scheduled for 2024‑09‑17 to reassess medication and wellness status."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, born 06/07/1999 (SSN: 999‑26‑7676), resides at 523 O'Kon Orchard, Cando, North Dakota 58324, holds driver’s license S99963354 and passport X23683209X, and is a white, non‑Hispanic female with a reported age of 23 at the start of her current medication. She presented for an outpatient check‑up encounter (procedure) at Towner County Medical Center (HWY 281 N, Cando, ND 58324) on 05/09/2023, attended by Dr. Jarvis Ankunding, General Practice. During that visit she was prescribed a 72‑hour fentanyl 0.025 mg/HR transdermal system (medication code 245134) which she received starting 05/09/2023 and discontinued on 09/05/2023 after three dispensations costing a total of $764.31, fully covered by the insurer with a payer coverage of $254.77 per dispense and a total claim cost of $1,053.14. Her cumulative healthcare expenses amount to $127,546.31, with coverage of $673,780.87 and an annual income of $63,061."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, born 06/07/1999 (age 26), SSN 999‑26‑7676, resides at 523 O'Kon Orchard, Cando, ND 58324, driver license S99963354, passport X23683209X, is a white, non‑Hispanic female born in Oakes, North Dakota, US.  
She presented for a well‑child visit at Towner County Medical Center on 07/26/2016 (age 17) during which she was started on albuterol 0.83 mg/mL inhalation solution (medication code 630208) for childhood asthma (reason code 233678006.0) on 2016‑07‑26 04:52:06 and discontinued on 2017‑08‑01 04:52:06; the prescription was dispensed once at a cost of $254.77 with no payer coverage, and the encounter cost $70.80 with $45.83 covered by insurer, bringing the total claim cost to $457.90.  
Her cumulative healthcare expenses are $127,546.31 against coverage of $673,780.87, with an annual income of $63,061, and the visit was performed by Dr. Sal Lehner, general practice."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Ms. Yaeko Ming Kshlerin (patient ID 1329b83e‑ea69‑d184‑b4af‑0d2a8e07896e), born 06/07/1999 in Oakes, North Dakota, U.S., SSN 999‑26‑7676, driver’s license S99963354, passport X23683209X, white, non‑Hispanic, female, resides at 523 O’Kon Orchard, Cando, ND 58324 (Towner County, FIPS 38095, lat 48.4746, lon ‑99.2337), with healthcare expenses of $127,546.31, coverage $673,780.87, and income $63,061, was seen in a wellness examination (encounter class: wellness, description: general examination of patient (procedure)) at Towner County Medical Center (HWY 281N, CANDO, ND 583240688) by Dr. Sal Lehner, general practitioner. She had a prescription of 12‑hour Hydrocodone Bitartrate 10 mg extended‑release oral capsules (medication code 1860491) from 08/18/2020 04:52:06 to 08/24/2021 04:52:06, prescribed when she was 21 years old, with 3 dispenses, total medication cost $764.31 (base cost $254.77, payer coverage $0.00), and the encounter incurred a base cost of $70.80, total claim $1,059.34, with payer coverage $568.34. No complaints were reported, and the visit served as a routine check‑up."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, a 26‑year‑old white, non‑Hispanic female, born June 7 1999 (SSN 999‑26‑7676), resident of 523 O'Kon Orchard, Cando, North Dakota 58324, holding driver’s license S99963354 and passport X23683209X, presented for a wellness visit at Towner County Medical Center (HWY 281N, CANDO, ND 58324, Towner County).  
Dr. Sal Lehner, general practitioner, performed a general examination noting her history of childhood asthma and documented that she had been prescribed a 120‑actuat fluticasone propionate 0.11 mg metered‑dose inhaler (Flovent) from August 30, 2022 to October 4, 2022; the medication cost was $254.77 with $203.82 covered by her insurer.  
The encounter’s base cost was $70.80, total claim cost $593.90, with payer coverage of $475.12, contributing to her total healthcare expenses of $127,546.31, coverage of $673,780.87, and annual income of $63,061.  
Follow‑up will be scheduled at her convenience, and all records will be updated accordingly."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin (patient_id 1329b83e‑ea69‑d184‑b4af‑0d2a8e07896e), born 06/07/1999 (age 26), SSN 999‑26‑7676, residing at 523 O'Kon Orchard, Cando, North Dakota 58324, presented to TOWNER COUNTY MEDICAL CENTER (281 N HWY, CANDO, ND 583240688) on an unspecified wellness visit under Dr. Sal Lehner, general practice. She underwent a general examination of patient (procedure) with a base encounter cost of $70.80, total claim cost of $1,059.34, of which $568.34 was payer‑covered, leaving $490.99 of patient responsibility. Her medication history includes a 72‑hour fentanyl 0.025 mg/hr transdermal system (medication_code 245134) prescribed from 2020‑08‑18 04:52:06 to 2021‑08‑24 04:52:06, 3 dispensings totaling $764.31, fully uncovered by insurance, and her cumulative healthcare expenses amount to $127,546.31 against coverage of $673,780.87 with an annual income of $63,061. The patient holds driver’s license S99963354, passport X23683209X, race white, ethnicity non‑Hispanic, gender female, birthplace Oakes, North Dakota, USA, and marital status is unspecified."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, born June 7 1999 (SSN: 999‑26‑7676) and residing at 523 O'Kon Orchard, Cando, North Dakota 58324, was seen for a wellness examination at Towner County Medical Center (281N Hwy, Cando, ND 583240688) on [date] by Dr. Sal Lehner, a general practitioner. The encounter, classified as a general examination procedure, was billed at a base cost of $70.80 with a total claim of $1,198.71, of which the payer covered $673.18. Ms. Kshlerin had previously been prescribed Acetaminophen 300 mg / Hydrocodone Bitartrate 5 mg Oral Tablet (medication code 856987) from August 13 2019 to August 18 2020, receiving three dispenses at a total cost of $245.04 (base cost $81.68 each, no coverage); she was 20 years old at initiation. Her overall healthcare expenses are $127,546.31, with coverage totaling $673,780.87 and an annual income of $63,061; she holds driver’s license S99963354 and passport X23683209X."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Ms. Yaeko Ming Kshlerin, born 06/07/1999 (SSN 999‑26‑7676), presented to Towner County Medical Center on 08/30/2022 for a general wellness examination and initiation of a 72‑hour fentanyl 0.025 mg/HR transdermal system (medication code 245134), which was dispensed three times and discontinued on 10/04/2022. The 23‑year‑old white female, residing at 523 O'Kon Orchard, Cando, ND 58324 (Towner County), incurred a total medication cost of $764.31 (base cost $254.77, payer coverage $203.82) and an encounter cost of $70.80 with payer coverage of $475.12, resulting in a total claim of $593.90 against her healthcare expenses of $127,546.31. Dr. Sal Lehner, General Practice, documented a routine procedure at the facility located on HWY 281N, Cando, ND 58324‑0688. Follow‑up and additional management will be coordinated per the payer’s coverage and the patient’s overall financial plan."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Ms. Yaeko Ming Kshlerin, born June 7, 1999 (SSN 999‑26‑7676, driver’s license S99963354, passport X23683209X), is a white, non‑Hispanic female residing at 523 O’Kon Orchard, Cando, North Dakota 58324 (Towner County, FIPS 38095, lat 48.4746068 N, lon –99.2336557 W). She underwent a general wellness examination (procedure) at TOWNER COUNTY MEDICAL CENTER, 281 N HWY, CANDO, ND 58324, under Dr. Sal Lehner, General Practice; the encounter’s base cost was $70.80, with a total claim of $1,198.71 and payer coverage of $673.18, while her cumulative healthcare expenses stand at $127,546.31 against coverage of $673,780.87 and an annual income of $63,061. She was prescribed a 72‑hour fentanyl 0.025 mg/hr transdermal system (medication code 245134) from 2019‑08‑13 04:52:06 to 2020‑08‑18 04:52:06, dispensed three times for a total cost of $764.31, with no coverage."
