patient_id,clinical_note
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, born 06/07/1999 (SSN 999‑26‑7676), presented to Aurora Urgent Care LLC (2650 32ND AVE S STE D, Grand Forks, ND 58201‑6541) on 12/01/2015 at 04:52:06 for routine vitals; Dr. Karl Hansen, general practice, recorded her height at 167.3 cm (code 8302‑2) during a vital‑signs observation when she was 16 years old. Her encounter class was urgent care clinic (environment), with a base cost of $160.75, total claim cost $547.85, fully covered by payer coverage of $547.85 under a coverage amount of $673,780.87. Ms. Kshlerin, a 16‑year‑old white non‑Hispanic female from Oakes, North Dakota, residing at 523 O'Kon Orchard, Cando, ND 58324 (Towner County, FIPS 38095), has an income of $63,061, healthcare expenses of $127,546.31, driver’s license S99963354, and passport X23683209X."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, born on 06/07/1999 (SSN: 999-26-7676), presented to Aurora Urgent Care LLC at 2650 32ND Ave S, Ste D, Grand Forks, ND 58201 on 12/01/2015 at 04:52:06 for a pain severity assessment; she reports a mild ache rated 2.0 on the 0‑10 numeric scale.  
Dr. Karl Hansen, a General Practitioner, noted the complaint during an urgent‑care encounter, recorded the observation code 72514‑3, and documented the pain score within the vital‑signs category; the visit incurred a base cost of $160.75 with total claim cost of $547.85 fully covered by the payer.  
Ms. Kshlerin resides at 523 O'Kon Orchard, Cando, North Dakota 58324, Towner County (FIPS 38095), and her demographic details include white race, non‑Hispanic ethnicity, and female gender; her healthcare expenses total $127,546.31 with coverage of $673,780.87, and she earns an income of $63,061."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, born on 06/07/1999 (SSN: 999-26-7676, driver's license: S99963354, passport: X23683209X), presented to AURORA URGENT CARE LLC (2650 32ND AVE S STE D, Grand Forks, ND 58201) on 12/01/2015 at 04:52:06 for an urgent care visit; her address is 523 O'Kon Orchard, Cando, North Dakota 58324, race white, ethnicity non‑Hispanic, gender female. Dr. Karl Hansen, a general practitioner, recorded a body weight of 65.4 kg (Observation Code: 29463‑7, Body Weight, 29463-7, numeric) during the encounter, which was classified as an urgent care clinic (environment). The base encounter cost was $160.75, the total claim cost was $547.85 with payer coverage of $547.85, and her cumulative healthcare expenses total $127,546.31."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Yaeko Ming Kshlerin, Ms., born 06/07/1999 (age 16), white, non‑Hispanic female, presented to Aurora Urgent Care LLC in Grand Forks, ND, on 12/01/2015 at 04:52:06 for an urgent care visit. Dr. Karl Hansen performed a BMI assessment of 23.4 kg/m², noting it falls within normal limits; the encounter cost was $160.75 with a total claim of $547.85 fully covered by the payer. She resides at 523 O'Kon Orchard, Cando, North Dakota 58324, and her SSN is 999‑26‑7676."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, born June 7, 1999 (SSN: 999‑26‑7676, driver’s license: S99963354, passport: X23683209X), presented to Aurora Urgent Care LLC in Grand Forks, ND on December 1, 2015 at 04:52 AM for an urgent care evaluation. Dr. Karl Hansen, a general practitioner, recorded a body mass index percentile of 76.6 % during vital‑sign assessment, noting it as elevated for a 16‑year‑old white non‑Hispanic female; her address is 523 O'Kon Orchard, Cando, North Dakota 58324, in Towner County. The encounter cost was $160.75 with a total claim of $547.85, fully covered by payer, and the patient’s cumulative healthcare expenses total $127,546.31 against coverage of $673,780.87, with an annual income of $63,061. Follow‑up was scheduled for a future date and will review any further assessments."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, born on 06/07/1999 in Oakes, North Dakota (SSN: 999‑26‑7676), driver's license S99963354, passport X23683209X, was brought to AURORA URGENT CARE LLC on 12/01/2015 at 04:52:06 for a diastolic blood pressure reading of 87 mm Hg (code 8462‑4) while at the urgent‑care clinic (environment). The encounter was conducted by Dr. Karl Hansen, general practitioner, at 2650 32ND AVE S STE D, Grand Forks, ND 58201; the base cost was $160.75 and the total claim cost $547.85, fully covered by payer ($547.85). Ms. Kshlerin resides at 523 O'Kon Orchard, Cando, North Dakota 58324 in Towner County; her healthcare expenses total $127,546.31, coverage $673,780.87, and income $63,061, and she is 16 years old at this observation, white, non‑Hispanic."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, born 06/07/1999 (SSN 999‑26‑7676, driver license S99963354, passport X23683209X), was evaluated on 12/01/2015 at 04:52:06 UTC in the urgent‑care clinic of AURORA URGENT CARE LLC, Grand Forks, ND, for a vital‑signs assessment. Dr. Karl Hansen, general practice, recorded a systolic blood pressure of 133 mm Hg (code 8480‑6) in a 16‑year‑old white, non‑Hispanic female born in Oakes, North Dakota; the encounter incurred a base cost of $160.75, total claim $547.85, fully covered by the payer. Ms. Kshlerin’s cumulative healthcare expenses total $127,546.31 with coverage of $673,780.87, and her annual income is $63,061; she resides at 523 O'Kon Orchard, Cando, ND 58324 (Towner County). No additional encounter reason was documented, and her age at observation was 16 years."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, a 16‑year‑old white female, born 06/07/1999 (SSN 999‑26‑7676, driver’s license S99963354, passport X23683209X), presented to Aurora Urgent Care LLC (2650 32ND Ave S Ste D, Grand Forks, ND 58201) on 12/01/2015 at 04:52:06 for a routine vital‑signs check; her heart rate was 89 beats/min. Dr. Karl Hansen, general practice, noted no acute abnormalities and documented the observation in the urgent care encounter. The base encounter cost was $160.75 with a total claim cost of $547.85, fully covered by the payer; Ms. Kshlerin’s home address is 523 O'Kon Orchard, Cando, ND 58324, and her healthcare expenses total $127,546.31 with coverage of $673,780.87. Follow‑up will be scheduled at her next primary‑care visit, and her vital‑signs trend will be reviewed then."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient ID 1329b83e‑ea69‑d184‑b4af‑0d2a8e07896e; Ms. Yaeko Ming Kshlerin (SSN 999‑26‑7676, driver’s license S99963354, passport X23683209X, age 16, born 1999‑06‑07 in Oakes, North Dakota, race white, ethnicity non‑Hispanic, gender F) presented to Aurora Urgent Care LLC at 2650 32nd Ave S Ste D, Grand Forks, ND 58201, on 2015‑12‑01 04:52:06 for a routine vital‑sign assessment; her respiratory rate was 16 /min (OBSCODE 9279‑1, numeric). The encounter, classified as urgent‑care, was billed at a base cost of $160.75 with a total claim cost of $547.85 fully covered by the payer. Ms. Kshlerin resides at 523 O’Kon Orchard, Cando, North Dakota 58324 (Towner County, FIPS 38095, lat 48.4746, lon –99.2337), and her cumulative healthcare expenses to date total $127,546.31 against coverage of $673,780.87 with an income of $63,061; she was evaluated by Dr. Karl Hansen, general practitioner. Follow‑up was advised but not scheduled in this visit."
1329b83e-ea69-d184-b4af-0d2a8e07896e,"Patient: Ms. Yaeko Ming Kshlerin, born on 06/07/1999 (SSN: 999‑26‑7676), presented to Aurora Urgent Care LLC at 2650 32nd Ave S Ste D, Grand Forks, ND 58201 on 12/01/2015 at 04:52 AM for an urgent care visit; she reports never smoked tobacco, documented under observation code 72166‑2 as a finding. The encounter, supervised by Dr. Karl Hansen, General Practice, incurred a base cost of $160.75 with a total claim of $547.85 fully covered by the payer, and her current healthcare expenses total $127,546.31 with coverage of $673,780.87 against an income of $63,061. She resides at 523 O'Kon Orchard, Cando, North Dakota 58324, Towner County; her demographic profile is white, non‑Hispanic female, 16 years old at the time of observation. No specific encounter reason was documented."
